length, selection, insertion, merge
10,45,13,19
25,300,35,67
40,780,65,123
55,1485,83,184
70,2415,107,246
85,3570,135,313
100,4950,161,378
115,6555,179,439
130,8385,207,500
145,10440,221,587
160,12720,251,657
175,15225,279,751
190,17955,309,819
205,20910,313,873
220,24090,363,970
235,27495,359,1018
250,31125,381,1074
265,34980,423,1175
280,39060,429,1266
295,43365,467,1355
310,47895,495,1432
325,52650,495,1517
340,57630,551,1609
355,62835,549,1680
370,68265,593,1771
385,73920,605,1808
400,79800,643,1923
415,85905,649,2008
430,92235,669,2085
445,98790,715,2163
460,105570,737,2234
475,112575,755,2308
490,119805,793,2391
505,127260,803,2440
520,134940,807,2515
535,142845,869,2656
550,150975,833,2720
565,159330,903,2823
580,167910,905,2938
595,176715,917,3030
610,185745,987,3125
625,195000,971,3190
640,204480,1009,3286
655,214185,1021,3388
670,224115,1067,3471
685,234270,1075,3567
700,244650,1075,3631
715,255255,1141,3745
730,266085,1137,3821
745,277140,1163,3898
760,288420,1197,3959
775,299925,1209,4054
790,311655,1257,4166
805,323610,1273,4249
820,335790,1307,4364
835,348195,1311,4422
850,360825,1341,4522
865,373680,1335,4604
880,386760,1401,4708
895,400065,1403,4772
910,413595,1417,4864
925,427350,1463,4958
940,441330,1489,5021
955,455535,1499,5106
970,469965,1515,5183
985,484620,1551,5256
1000,499500,1573,5327
1015,514605,1607,5388
1030,529935,1645,5493
1045,545490,1623,5593
1060,561270,1631,5709
1075,577275,1679,5835
1090,593505,1703,5940
1105,609960,1725,6058
1120,626640,1791,6206
1135,643545,1761,6262
1150,660675,1785,6350
1165,678030,1827,6488
1180,695610,1871,6588
1195,713415,1885,6697
1210,731445,1941,6792
1225,749700,1907,6867
1240,768180,1953,6991
